Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
219 West ,78701,12/05/2012,86,"612 W 6TH ST
AUSTIN, TX 78701
(30.269814, -97.74908)",10679400,Routine Inspection
219 West ,78701,03/31/2015,79,"612 W 6TH ST
AUSTIN, TX 78701
(30.269814, -97.74908)",10679400,Routine Inspection
219 West ,78701,07/15/2014,74,"612 W 6TH ST
AUSTIN, TX 78701
(30.269814, -97.74908)",10679400,Routine Inspection
21st St. College House,78705,08/14/2014,97,"707 W 21ST ST
AUSTIN, TX 78705
(30.284089, -97.745888)",2800407,Routine Inspection
21st St. College House,78705,06/25/2013,91,"707 W 21ST ST
AUSTIN, TX 78705
(30.284089, -97.745888)",2800407,Routine Inspection
21st St. College House,78705,11/07/2012,92,"707 W 21ST ST
AUSTIN, TX 78705
(30.284089, -97.745888)",2800407,Routine Inspection
21st St. College House,78705,03/30/2015,93,"707 W 21ST ST
AUSTIN, TX 78705
(30.284089, -97.745888)",2800407,Routine Inspection
21st St. College House,78705,01/22/2014,100,"707 W 21ST ST
AUSTIN, TX 78705
(30.284089, -97.745888)",2800407,Routine Inspection
24 Diner,78703,12/23/2014,74,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271744, -97.753872)",2800411,Routine Inspection
24 Diner,78703,01/24/2013,79,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271744, -97.753872)",2800411,Routine Inspection
24 Diner,78703,02/04/2014,76,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271744, -97.753872)",2800411,Routine Inspection
290 West Bar & Grill,78737,03/13/2013,100,"12013 W US 290 HWY
AUSTIN, TX 78737
",2802301,Routine Inspection
290 West Bar & Grill,78737,05/21/2014,100,"12013 W US 290 HWY
AUSTIN, TX 78737
",2802301,Routine Inspection
290 West Bar & Grill,78737,09/17/2013,100,"12013 W US 290 HWY
AUSTIN, TX 78737
",2802301,Routine Inspection
290 West Bar & Grill,78737,10/30/2014,94,"12013 W US 290 HWY
AUSTIN, TX 78737
",2802301,Routine Inspection
290 West Bar & Grill,78737,04/07/2015,97,"12013 W US 290 HWY
AUSTIN, TX 78737
",2802301,Routine Inspection
290 West Bar & Grill,78737,08/24/2012,97,"12013 W US 290 HWY
AUSTIN, TX 78737
",2802301,Routine Inspection
2 Dine 4 Fine Catering,78702,05/18/2015,87,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,02/25/2014,93,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,08/17/2012,82,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,02/13/2013,93,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,08/09/2013,93,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,07/24/2014,100,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2 Dine 4 Fine Catering,78702,12/09/2014,92,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",2802035,Routine Inspection
2nd Street Market,78701,04/14/2015,95,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection
2nd Street Market,78701,04/16/2013,94,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection
2nd Street Market,78701,11/14/2012,85,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection
2nd Street Market,78701,02/20/2014,88,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection
2nd Street Market,78701,10/14/2014,89,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",10003368,Routine Inspection
311 Club,78701,02/05/2015,94,"311 E 6TH ST
AUSTIN, TX 78701
(30.267248, -97.739917)",2800988,Routine Inspection
311 Club,78701,01/24/2013,94,"311 E 6TH ST
AUSTIN, TX 78701
(30.267248, -97.739917)",2800988,Routine Inspection
311 Club,78701,07/02/2015,100,"311 E 6TH ST
AUSTIN, TX 78701
(30.267248, -97.739917)",2800988,Routine Inspection
311 Club,78701,08/08/2013,93,"311 E 6TH ST
AUSTIN, TX 78701
(30.267248, -97.739917)",2800988,Routine Inspection
34th Street Cafe,78705,03/24/2014,96,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302834, -97.745062)",2801118,Routine Inspection
34th Street Cafe,78705,09/19/2013,77,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302834, -97.745062)",2801118,Routine Inspection
34th Street Cafe,78705,03/25/2015,97,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302834, -97.745062)",2801118,Routine Inspection
34th Street Cafe,78705,10/10/2014,89,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302834, -97.745062)",2801118,Routine Inspection
34th Street Cafe,78705,02/21/2013,88,"1005 W 34TH ST
AUSTIN, TX 78705
(30.302834, -97.745062)",2801118,Routine Inspection
34th Street Catering,78705,10/10/2014,79,"1009 W 34TH ST
AUSTIN, TX 78705
(30.302968, -97.745332)",10006930,Routine Inspection
34th Street Catering,78705,02/21/2013,100,"1009 W 34TH ST
AUSTIN, TX 78705
(30.302968, -97.745332)",10006930,Routine Inspection
34th Street Catering,78705,03/25/2015,92,"1009 W 34TH ST
AUSTIN, TX 78705
(30.302968, -97.745332)",10006930,Routine Inspection
34th Street Catering,78705,03/24/2014,96,"1009 W 34TH ST
AUSTIN, TX 78705
(30.302968, -97.745332)",10006930,Routine Inspection
34th Street Catering,78705,09/19/2013,93,"1009 W 34TH ST
AUSTIN, TX 78705
(30.302968, -97.745332)",10006930,Routine Inspection
"360 Pizza, LLC",78731,01/22/2014,97,"6203 N CAPITAL OF TEXAS HWY NB Unit A100
AUSTIN, TX 78731
(30.360268, -97.790141)",10833958,Routine Inspection
"360 Pizza, LLC",78704,09/19/2014,82,"2107 KINNEY AVE
AUSTIN, TX 78704
(30.248217, -97.770749)",11062654,Routine Inspection
"360 Pizza, LLC",78704,03/23/2015,85,"2107 KINNEY AVE
AUSTIN, TX 78704
(30.248217, -97.770749)",11062654,Routine Inspection
"360 Pizza, LLC",78731,04/23/2015,82,"6203 N CAPITAL OF TEXAS HWY NB Unit A100
AUSTIN, TX 78731
(30.360268, -97.790141)",10833958,Routine Inspection
"360 Pizza, LLC",78731,11/24/2014,81,"6203 N CAPITAL OF TEXAS HWY NB Unit A100
AUSTIN, TX 78731
(30.360268, -97.790141)",10833958,Routine Inspection
360 Uno Espresso & Vino,78746,06/25/2014,90,"3801 N CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.336749, -97.805135)",2802323,Routine Inspection
360 Uno Espresso & Vino,78746,05/28/2013,91,"3801 N CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.336749, -97.805135)",2802323,Routine Inspection
360 Uno Espresso & Vino,78746,12/27/2013,88,"3801 N CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.336749, -97.805135)",2802323,Routine Inspection
360 Uno Espresso & Vino,78746,11/13/2014,92,"3801 N CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.336749, -97.805135)",2802323,Routine Inspection
360 Uno Espresso & Vino,78746,03/20/2015,92,"3801 N CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.336749, -97.805135)",2802323,Routine Inspection
360 Uno Espresso & Vino,78746,10/25/2012,73,"3801 N CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.336749, -97.805135)",2802323,Routine Inspection
3M Austin Center,78726,02/12/2015,100,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
(30.396048, -97.844733)",2800072,Routine Inspection
3M Austin Center,78726,08/27/2013,93,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
(30.396048, -97.844733)",2800072,Routine Inspection
3M Austin Center,78726,03/20/2014,93,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
(30.396048, -97.844733)",2800072,Routine Inspection
3M Austin Center,78726,08/19/2014,93,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
(30.396048, -97.844733)",2800072,Routine Inspection
3M Austin Center,78726,11/05/2012,81,"6801 RIVER PLACE BLVD
AUSTIN, TX 78726
(30.396048, -97.844733)",2800072,Routine Inspection
"4111 South First , LLC",78745,01/08/2013,100,"4111 S 1ST ST
AUSTIN, TX 78745
(30.224591, -97.77069)",10548679,Routine Inspection
"4111 South First , LLC",78745,04/09/2015,96,"4111 S 1ST ST
AUSTIN, TX 78745
(30.224591, -97.77069)",10548679,Routine Inspection
"4111 South First , LLC",78745,02/27/2014,100,"4111 S 1ST ST
AUSTIN, TX 78745
(30.224591, -97.77069)",10548679,Routine Inspection
"4111 South First , LLC",78745,07/17/2013,100,"4111 S 1ST ST
AUSTIN, TX 78745
(30.224591, -97.77069)",10548679,Routine Inspection
"4111 South First , LLC",78745,10/14/2014,82,"4111 S 1ST ST
AUSTIN, TX 78745
(30.224591, -97.77069)",10548679,Routine Inspection
411 First Floor,78701,01/30/2015,86,"404 E 6TH ST
AUSTIN, TX 78701
(30.267011, -97.739041)",10586003,Routine Inspection
411 First Floor,78701,05/31/2013,86,"404 E 6TH ST
AUSTIN, TX 78701
(30.267011, -97.739041)",10586003,Routine Inspection
411 First Floor,78701,07/30/2014,100,"404 E 6TH ST
AUSTIN, TX 78701
(30.267011, -97.739041)",10586003,Routine Inspection
411 First Floor,78701,11/19/2012,93,"404 E 6TH ST
AUSTIN, TX 78701
(30.267011, -97.739041)",10586003,Routine Inspection
413 Bar,78701,08/08/2013,93,"413 E 6TH ST
AUSTIN, TX 78701
(30.266925, -97.73874)",10839037,Routine Inspection
413 Bar,78701,02/12/2015,85,"413 E 6TH ST
AUSTIN, TX 78701
(30.266925, -97.73874)",10839037,Routine Inspection
413 Bar,78701,07/10/2014,87,"413 E 6TH ST
AUSTIN, TX 78701
(30.266925, -97.73874)",10839037,Routine Inspection
512 Market Kitchen,78734,04/22/2015,100,"4506 WELETKA DR
AUSTIN, TX 78734
(30.406101, -97.926044)",11253014,Routine Inspection
"512 on 6th, The",78701,12/13/2012,91,"408 E 6TH ST
AUSTIN, TX 78701
(30.26697, -97.738897)",10493313,Routine Inspection
"512 on 6th, The",78701,10/23/2014,84,"408 E 6TH ST
AUSTIN, TX 78701
(30.26697, -97.738897)",10493313,Routine Inspection
"512 on 6th, The",78701,04/23/2015,81,"408 E 6TH ST
AUSTIN, TX 78701
(30.26697, -97.738897)",10493313,Routine Inspection
"512 on 6th, The",78701,07/18/2013,78,"408 E 6TH ST
AUSTIN, TX 78701
(30.26697, -97.738897)",10493313,Routine Inspection
6M Grocery,78652,02/01/2013,100,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6M Grocery,78652,11/01/2012,94,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6M Grocery,78652,01/17/2014,90,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6M Grocery,78652,07/25/2014,100,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6M Grocery,78652,04/27/2015,93,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6M Grocery,78652,12/15/2014,93,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6M Grocery,78652,07/31/2013,93,"805 W FM 1626 RD
AUSTIN, TX 78652
(30.14058, -97.828226)",2803436,Routine Inspection
6 St Cool Store,78702,04/12/2013,100,"1900 E 6TH ST
AUSTIN, TX 78702
(30.261609, -97.722333)",10199624,Routine Inspection
6 St Cool Store,78702,06/05/2015,100,"1900 E 6TH ST
AUSTIN, TX 78702
(30.261609, -97.722333)",10199624,Routine Inspection
6 St Cool Store,78702,10/17/2012,100,"1900 E 6TH ST
AUSTIN, TX 78702
(30.261609, -97.722333)",10199624,Routine Inspection
6 St Cool Store,78702,11/04/2013,100,"1900 E 6TH ST
AUSTIN, TX 78702
(30.261609, -97.722333)",10199624,Routine Inspection
6 St Cool Store,78702,01/07/2015,100,"1900 E 6TH ST
AUSTIN, TX 78702
(30.261609, -97.722333)",10199624,Routine Inspection
6 St Cool Store,78702,07/31/2014,92,"1900 E 6TH ST
AUSTIN, TX 78702
(30.261609, -97.722333)",10199624,Routine Inspection
7 Days Food Store,78745,07/30/2014,88,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210557, -97.786868)",2804068,Routine Inspection
7 Days Food Store,78745,01/23/2015,94,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210557, -97.786868)",2804068,Routine Inspection
7 Days Food Store,78745,11/28/2012,91,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210557, -97.786868)",2804068,Routine Inspection
7 Days Food Store,78745,12/13/2013,88,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210557, -97.786868)",2804068,Routine Inspection
7 Days Food Store,78745,06/14/2013,91,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210557, -97.786868)",2804068,Routine Inspection
7-Eleven,78726,01/22/2014,100,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454905, -97.826321)",10063456,Routine Inspection
7-Eleven,78741,10/27/2014,93,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.244879, -97.728661)",10132234,Routine Inspection
7-Eleven,78701,08/26/2014,94,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection
7-Eleven,78704,11/04/2014,94,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253078, -97.76341)",10479184,Routine Inspection
7-Eleven,78726,03/30/2015,87,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454905, -97.826321)",10063456,Routine Inspection
7-Eleven,78745,06/18/2014,90,"8010 BRODIE LN
AUSTIN, TX 78745
(30.2029, -97.837551)",10138206,Routine Inspection
7-Eleven,78726,07/19/2013,97,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454905, -97.826321)",10063456,Routine Inspection
7-Eleven,78703,02/14/2013,97,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282037, -97.775985)",10074325,Routine Inspection
7-Eleven,78741,03/25/2015,84,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.244879, -97.728661)",10132234,Routine Inspection
7-Eleven,78745,11/18/2014,100,"8010 BRODIE LN
AUSTIN, TX 78745
(30.2029, -97.837551)",10138206,Routine Inspection
7-Eleven,78701,06/26/2015,90,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection
7-Eleven,78741,10/31/2013,91,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.244879, -97.728661)",10132234,Routine Inspection
7-Eleven,78703,03/19/2014,94,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282037, -97.775985)",10074325,Routine Inspection
7-Eleven,78701,07/17/2013,74,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection
7-Eleven,78726,11/06/2014,100,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454905, -97.826321)",10063456,Routine Inspection
7-Eleven,78701,01/02/2013,94,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection
7-Eleven,78704,04/11/2013,92,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253078, -97.76341)",10479184,Routine Inspection
7-Eleven,78704,10/04/2013,88,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253078, -97.76341)",10479184,Routine Inspection
7-Eleven,78741,11/06/2012,97,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.244879, -97.728661)",10132234,Routine Inspection
7-Eleven,78745,11/21/2012,97,"8010 BRODIE LN
AUSTIN, TX 78745
(30.2029, -97.837551)",10138206,Routine Inspection
7-Eleven,78704,04/13/2015,82,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253078, -97.76341)",10479184,Routine Inspection
7-Eleven,78703,09/10/2014,100,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282037, -97.775985)",10074325,Routine Inspection
7-Eleven,78701,02/25/2014,100,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection
7-Eleven,78745,06/21/2013,100,"8010 BRODIE LN
AUSTIN, TX 78745
(30.2029, -97.837551)",10138206,Routine Inspection
7-Eleven,78703,09/12/2013,97,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282037, -97.775985)",10074325,Routine Inspection
7-Eleven,78741,05/22/2014,86,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.244879, -97.728661)",10132234,Routine Inspection
7-Eleven,78704,10/18/2012,96,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253078, -97.76341)",10479184,Routine Inspection
7-Eleven,78741,05/02/2013,97,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.244879, -97.728661)",10132234,Routine Inspection
7-Eleven,78745,12/19/2013,100,"8010 BRODIE LN
AUSTIN, TX 78745
(30.2029, -97.837551)",10138206,Routine Inspection
7-Eleven,78703,02/13/2015,97,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282037, -97.775985)",10074325,Routine Inspection
7-Eleven,78726,06/26/2014,93,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454905, -97.826321)",10063456,Routine Inspection
7-Eleven,78704,05/27/2014,90,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.253078, -97.76341)",10479184,Routine Inspection
7-Eleven,78703,06/12/2015,97,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282037, -97.775985)",10074325,Routine Inspection
7-Eleven,78745,05/15/2015,91,"8010 BRODIE LN
AUSTIN, TX 78745
(30.2029, -97.837551)",10138206,Routine Inspection
7-Eleven,78726,10/31/2012,95,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454905, -97.826321)",10063456,Routine Inspection
7-Eleven,78701,01/30/2015,89,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection
7-Eleven #12702,78741,08/22/2014,87,"1747 E OLTORF ST
AUSTIN, TX 78741
(30.232408, -97.737192)",10599390,Routine Inspection
7-Eleven #12702,78741,08/12/2013,84,"1747 E OLTORF ST
AUSTIN, TX 78741
(30.232408, -97.737192)",10599390,Routine Inspection
7-Eleven #12702,78741,02/04/2013,92,"1747 E OLTORF ST
AUSTIN, TX 78741
(30.232408, -97.737192)",10599390,Routine Inspection
7-Eleven #12702,78741,02/19/2014,87,"1747 E OLTORF ST
AUSTIN, TX 78741
(30.232408, -97.737192)",10599390,Routine Inspection
7-Eleven #12702,78741,02/18/2015,85,"1747 E OLTORF ST
AUSTIN, TX 78741
(30.232408, -97.737192)",10599390,Routine Inspection
7-Eleven #12705,78701,01/04/2013,94,"408 W 15TH ST
AUSTIN, TX 78701
(30.278201, -97.743812)",10207779,Routine Inspection
7-Eleven #12705,78701,05/27/2015,92,"408 W 15TH ST
AUSTIN, TX 78701
(30.278201, -97.743812)",10207779,Routine Inspection
7-Eleven #12705,78701,07/12/2013,84,"408 W 15TH ST
AUSTIN, TX 78701
(30.278201, -97.743812)",10207779,Routine Inspection
7-Eleven #12705,78701,12/30/2014,93,"408 W 15TH ST
AUSTIN, TX 78701
(30.278201, -97.743812)",10207779,Routine Inspection
7-Eleven #12705,78701,07/29/2014,96,"408 W 15TH ST
AUSTIN, TX 78701
(30.278201, -97.743812)",10207779,Routine Inspection
7-Eleven #12705,78701,01/21/2014,97,"408 W 15TH ST
AUSTIN, TX 78701
(30.278201, -97.743812)",10207779,Routine Inspection
7-Eleven  #208,78759,05/19/2015,82,"11643 RESEARCH BLVD NB Unit B
AUSTIN, TX 78759
(30.416661, -97.745979)",10874481,Routine Inspection
7-Eleven  #208,78759,08/27/2014,93,"11643 RESEARCH BLVD NB Unit B
AUSTIN, TX 78759
(30.416661, -97.745979)",10874481,Routine Inspection
7-Eleven  #208,78759,08/30/2013,100,"11643 RESEARCH BLVD NB Unit B
AUSTIN, TX 78759
(30.416661, -97.745979)",10874481,Routine Inspection
7-Eleven  #208,78759,02/21/2014,83,"11643 RESEARCH BLVD NB Unit B
AUSTIN, TX 78759
(30.416661, -97.745979)",10874481,Routine Inspection
7-Eleven  #208,78759,01/12/2015,91,"11643 RESEARCH BLVD NB Unit B
AUSTIN, TX 78759
(30.416661, -97.745979)",10874481,Routine Inspection
7-Eleven #22245,78704,12/01/2014,96,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.243234, -97.752042)",10159452,Routine Inspection
7-Eleven #22245,78704,04/29/2013,100,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.243234, -97.752042)",10159452,Routine Inspection
7-Eleven #22245,78704,10/31/2013,97,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.243234, -97.752042)",10159452,Routine Inspection
7-Eleven #22245,78704,10/31/2012,90,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.243234, -97.752042)",10159452,Routine Inspection
7-Eleven #22245,78704,04/30/2014,100,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.243234, -97.752042)",10159452,Routine Inspection
7-Eleven #22245,78704,05/12/2015,91,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.243234, -97.752042)",10159452,Routine Inspection
7-Eleven #23807,78745,12/12/2013,93,"6306 MANCHACA RD
AUSTIN, TX 78745
(30.209111, -97.804512)",10322285,Routine Inspection
7-Eleven #23807,78745,07/23/2014,88,"6306 MANCHACA RD
AUSTIN, TX 78745
(30.209111, -97.804512)",10322285,Routine Inspection
7-Eleven #23807,78745,11/20/2012,97,"6306 MANCHACA RD
AUSTIN, TX 78745
(30.209111, -97.804512)",10322285,Routine Inspection
7-Eleven #23807,78745,01/07/2015,95,"6306 MANCHACA RD
AUSTIN, TX 78745
(30.209111, -97.804512)",10322285,Routine Inspection
7-Eleven #23807,78745,06/05/2015,93,"6306 MANCHACA RD
AUSTIN, TX 78745
(30.209111, -97.804512)",10322285,Routine Inspection
7-Eleven #23807,78745,05/22/2013,93,"6306 MANCHACA RD
AUSTIN, TX 78745
(30.209111, -97.804512)",10322285,Routine Inspection
7-Eleven #24397,78757,09/19/2013,100,"5901 BURNET RD
AUSTIN, TX 78757
(30.334993, -97.739801)",10750504,Routine Inspection
7-Eleven #24397,78757,02/22/2013,84,"5901 BURNET RD
AUSTIN, TX 78757
(30.334993, -97.739801)",10750504,Routine Inspection
7-Eleven #24397,78757,05/05/2015,92,"5901 BURNET RD
AUSTIN, TX 78757
(30.334993, -97.739801)",10750504,Routine Inspection
7-Eleven #24397,78757,06/19/2014,97,"5901 BURNET RD
AUSTIN, TX 78757
(30.334993, -97.739801)",10750504,Routine Inspection
7-Eleven #24397,78757,12/09/2014,93,"5901 BURNET RD
AUSTIN, TX 78757
(30.334993, -97.739801)",10750504,Routine Inspection
7 Eleven # 32248,78717,03/11/2014,88,"14016 N FM 620 RD
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,09/12/2014,97,"14016 N FM 620 RD
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,02/10/2015,92,"14016 N FM 620 RD
AUSTIN, TX 78717
",10886896,Routine Inspection
7-Eleven #35792,78744,03/26/2013,82,"1901 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188438, -97.765587)",10763496,Routine Inspection
7-Eleven #35792,78744,03/13/2015,96,"1901 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188438, -97.765587)",10763496,Routine Inspection
7-Eleven #35792,78744,10/01/2013,90,"1901 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188438, -97.765587)",10763496,Routine Inspection
7-Eleven #35792,78744,03/17/2014,85,"1901 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188438, -97.765587)",10763496,Routine Inspection
7-Eleven #35792,78744,09/22/2014,94,"1901 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188438, -97.765587)",10763496,Routine Inspection
7 Eleven # 36267A,78748,04/29/2015,75,"525 W SLAUGHTER LN
AUSTIN, TX 78748
(30.172021, -97.799102)",11126612,Routine Inspection
7 Eleven # 36267A,78748,12/04/2014,100,"525 W SLAUGHTER LN
AUSTIN, TX 78748
(30.172021, -97.799102)",11126612,Routine Inspection
7-Eleven 36559H,78734,04/17/2015,85,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
